generation,best_fitness,mean_fitness,worst_fitness,paddle_speed,reaction_time,movement_threshold
0,137.625,-144.814453125,-353.375,393.55259969723795,0.013361995872360278,24.11316865187869
1,137.625,12.97265625,-233.5625,393.55259969723795,0.013361995872360278,24.11316865187869
2,180.9375,114.08984375,31.1875,389.41239284394135,0.035558217225020006,26.128092893195937
3,180.9375,140.5390625,37.0,389.41239284394135,0.035558217225020006,26.128092893195937
4,187.25,154.041015625,42.9375,414.746019156481,0.035558217225020006,26.128092893195937
5,199.5625,169.095703125,118.6875,399.62957508130523,0.03895113221112472,24.8282015187313
6,199.5625,161.412109375,55.1875,399.62957508130523,0.03895113221112472,24.8282015187313
7,199.8125,182.349609375,137.25,414.746019156481,0.035558217225020006,24.45362977832428
8,205.6875,179.1640625,55.75,396.8084573715166,0.03950076109093385,24.72243680288448
9,205.6875,187.55859375,149.625,396.8084573715166,0.03950076109093385,24.72243680288448
10,205.6875,179.029296875,105.75,396.8084573715166,0.03950076109093385,24.72243680288448
11,205.6875,183.451171875,86.75,396.8084573715166,0.03950076109093385,24.72243680288448
12,205.8125,168.857421875,-7.5,413.67025111107466,0.039332173839260354,24.71564313455655
13,205.8125,182.806640625,106.0,413.67025111107466,0.039332173839260354,24.71564313455655
14,205.8125,190.79296875,124.6875,413.67025111107466,0.039332173839260354,24.71564313455655
15,205.875,184.3671875,99.3125,420.0,0.03950076109093385,28.87742089969245
16,205.875,194.9453125,162.3125,420.0,0.03950076109093385,28.87742089969245
17,205.875,183.76171875,36.0625,420.0,0.03950076109093385,28.87742089969245
18,205.875,183.435546875,61.375,420.0,0.03950076109093385,28.87742089969245
19,205.875,175.236328125,-51.3125,420.0,0.03950076109093385,28.87742089969245
20,212.0,174.0234375,93.0625,420.0,0.039492164144205574,28.926227282089215
21,212.0,186.220703125,93.1875,420.0,0.039492164144205574,28.926227282089215
22,212.0,195.3125,143.0625,420.0,0.039492164144205574,28.926227282089215
23,218.375,198.83984375,130.625,420.0,0.039498692275418835,29.790193846648812
